"key","en","de"
"subset.obs.pergroup.title","Observations per group:",""
"subset.obs.title","Observations:",""
"sym.alpha.1","α<sub>1</sub>",""
"sym.alpha.i","α<sub>i</sub>",""
"sym.chi2","-χ²",""
"sym.contains.05","∋ .05",""
"sym.delta.chi2","-Δχ²",""
"sym.delta.df","Δdf",""
"sym.lambda.i","λ<sub>i</sub>",""
"sym.mu.eta","μ<sub>η</sub>",""
"sym.p.05","p<sub>.05</sub>",""
"sym.p.08","p<sub>.08</sub>",""
"sym.p.rmsea.ge08","p<sub>H0:RMSEA>=.08</sub>",""
"sym.p.rmsea.le05","p<sub>H0:RMSEA<=.05</sub>",""
"sym.reliability.i","R<sub>i</sub>",""
"sym.rmsea.d","RMSEA<sub>D</sub>",""
"sym.sigma2.epsilon.i","σ²<sub>ε<sub>i</sub></sub>",""
